date,sea_level_mm
1992-12-01,-18.121499999999997
1993-01-01,-21.169
1993-02-01,-19.278333333333336
1993-03-01,-16.197666666666667
1993-04-01,-15.3925
1993-05-01,-16.59
1993-06-01,-14.523333333333333
1993-07-01,-14.118500000000001
1993-08-01,-16.0665
1993-09-01,-17.600666666666665
1993-10-01,-13.437999999999999
1993-11-01,-16.331
1993-12-01,-11.140333333333333
1994-01-01,-13.037
1994-02-01,-14.926666666666668
1994-03-01,-9.7315
1994-04-01,-10.001666666666667
1994-05-01,-12.610666666666667
1994-06-01,-10.4525
1994-07-01,-13.167666666666667
1994-08-01,-11.283000000000001
1994-09-01,-11.170333333333332
1994-10-01,-10.178
1994-11-01,-12.4185
1994-12-01,-6.882000000000001
1995-01-01,-5.165666666666667
1995-02-01,-8.104999999999999
1995-03-01,-4.994
1995-04-01,-6.010666666666666
1995-05-01,-6.4295
1995-06-01,-5.984333333333333
1995-07-01,-10.014
1995-08-01,-8.459666666666665
1995-09-01,-3.9003333333333328
1995-10-01,-5.6545
1995-11-01,-5.350333333333334
1995-12-01,-2.7805
1996-01-01,-5.31525
1996-02-01,-2.4275
1996-03-01,-3.6523333333333334
1996-04-01,-4.394
1996-05-01,-1.0023333333333333
1996-06-01,-4.2155000000000005
1996-07-01,-1.1976666666666667
1996-08-01,-4.383333333333334
1996-09-01,-3.614333333333333
1996-10-01,0.7484999999999999
1996-11-01,1.236
1996-12-01,-2.9226666666666667
1997-01-01,-1.54925
1997-02-01,-0.579
1997-03-01,-0.9269999999999999
1997-04-01,-0.18975000000000003
1997-05-01,2.323
1997-06-01,-0.41950000000000004
1997-07-01,3.953
1997-08-01,4.1015
1997-09-01,7.037999999999999
1997-10-01,5.114
1997-11-01,3.528
1997-12-01,2.328666666666667
1998-01-01,3.8525
1998-02-01,4.034666666666667
1998-03-01,3.6933333333333334
1998-04-01,4.160333333333333
1998-05-01,3.0404999999999998
1998-06-01,-0.33499999999999996
1998-07-01,0.5519999999999999
1998-08-01,-0.416
1998-09-01,-2.176
1998-10-01,-1.2229999999999999
1998-11-01,-3.060333333333334
1998-12-01,0.18433333333333332
1999-01-01,-0.10399999999999998
1999-02-01,0.4183333333333332
1999-03-01,-1.4206666666666667
1999-04-01,-1.2375
1999-05-01,-2.1813333333333333
1999-06-01,-2.9023333333333334
1999-07-01,-2.457333333333333
1999-08-01,-0.3916666666666666
1999-09-01,0.9536666666666668
1999-10-01,3.361333333333333
1999-11-01,2.8476666666666666
1999-12-01,6.045999999999999
2000-01-01,6.526
2000-02-01,4.317333333333333
2000-03-01,5.658666666666666
2000-04-01,3.52
2000-05-01,2.8556666666666666
2000-06-01,1.8336666666666668
2000-07-01,4.037
2000-08-01,2.454
2000-09-01,3.3066666666666666
2000-10-01,6.767666666666667
2000-11-01,7.817333333333334
2000-12-01,6.446666666666666
2001-01-01,9.0845
2001-02-01,6.898666666666666
2001-03-01,9.788666666666666
2001-04-01,9.668999999999999
2001-05-01,9.551333333333334
2001-06-01,8.899
2001-07-01,13.108666666666666
2001-08-01,10.569
2001-09-01,12.607333333333335
2001-10-01,11.041333333333334
2001-11-01,14.429666666666668
2001-12-01,11.874
2002-01-01,8.876333333333333
2002-02-01,12.017000000000001
2002-03-01,6.972999999999999
2002-04-01,9.529
2002-05-01,9.792
2002-06-01,11.012333333333332
2002-07-01,13.414000000000001
2002-08-01,15.022
2002-09-01,11.212666666666665
2002-10-01,14.485333333333335
2002-11-01,12.485666666666667
2002-12-01,13.185666666666668
2003-01-01,13.88325
2003-02-01,16.401
2003-03-01,13.717
2003-04-01,13.248666666666667
2003-05-01,14.1575
2003-06-01,12.549666666666667
2003-07-01,14.079
2003-08-01,13.242333333333335
2003-09-01,15.427
2003-10-01,15.708333333333334
2003-11-01,13.279666666666666
2003-12-01,14.806
2004-01-01,16.906666666666666
2004-02-01,14.378
2004-03-01,15.831333333333333
2004-04-01,17.457333333333334
2004-05-01,14.9405
2004-06-01,17.230666666666668
2004-07-01,16.93166666666667
2004-08-01,16.856666666666666
2004-09-01,18.961
2004-10-01,18.121666666666666
2004-11-01,16.999
2004-12-01,20.281333333333333
2005-01-01,19.995
2005-02-01,21.166
2005-03-01,22.461
2005-04-01,21.064666666666668
2005-05-01,22.002333333333336
2005-06-01,22.977
2005-07-01,22.504333333333335
2005-08-01,20.882
2005-09-01,21.896
2005-10-01,21.788
2005-11-01,23.975666666666665
2005-12-01,24.430333333333333
2006-01-01,21.171666666666667
2006-02-01,21.59266666666667
2006-03-01,21.047
2006-04-01,20.355666666666668
2006-05-01,23.81566666666667
2006-06-01,24.570666666666668
2006-07-01,25.325999999999997
2006-08-01,22.058666666666667
2006-09-01,25.796000000000003
2006-10-01,24.80725
2006-11-01,23.293999999999997
2006-12-01,25.813666666666666
2007-01-01,21.576999999999998
2007-02-01,23.148666666666667
2007-03-01,22.765
2007-04-01,26.147666666666666
2007-05-01,23.859333333333336
2007-06-01,23.223333333333333
2007-07-01,21.372333333333334
2007-08-01,23.081666666666667
2007-09-01,21.99666666666667
2007-10-01,23.19633333333333
2007-11-01,24.513666666666666
2007-12-01,24.49275
2008-01-01,26.138666666666666
2008-02-01,24.22866666666667
2008-03-01,25.41033333333333
2008-04-01,24.563666666666666
2008-05-01,29.10066666666667
2008-06-01,29.48266666666667
2008-07-01,28.83
2008-08-01,26.89833333333333
2008-09-01,25.755666666666666
2008-10-01,26.996333333333336
2008-11-01,26.249
2008-12-01,27.515333333333334
2009-01-01,28.22475
2009-02-01,26.5695
2009-03-01,29.549500000000002
